domain,key,address,category,category_old_id,city,company_url,country_code,country_name,description,extracted_address,geo_location,gid,industry_old_id,map_url,name,phone,phone_country_code,profile_url,query_string,raw_address,raw_phone,region_code,region_name,request_uri,review,root_domain,soleadify_category,text,time,url,zip_code,row
1-stophomewatch.com,c4976e7b1742d4c0649913c71bf05983,"3748 Jungle Plum Dr E, Naples, FL 34114, United States",Property management company,,Naples,http://www.1-stophomewatch.com/,us,United States,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-fl', 'region_name': 'Florida', 'city': 'Naples', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': None, 'postcode': None, 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 8.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': False, 'city_has_first_letter_upper_case': True, 'latitude': 26.142196655273438, 'longitude': -81.79429626464844, 'raw_text': '3748 Jungle Plum Dr E, Naples, FL 34114, United States', 'tokens': None, 'nominatim_address': {'postcode': None, 'continent': None, 'country': 'United States', 'country_code': 'us', 'region': None, 'state': 'Florida', 'state_district': None, 'county': 'Collier County', 'city': None, 'municipality': None, 'town': 'Naples', 'village': None, 'city_district': None, 'district': None, 'borough': None, 'suburb': None, 'subdivision': None, 'hamlet': None, 'croft': None, 'isolated_dwelling': None, 'neighbourhood': None, 'allotments': None, 'quarter': None, 'city_block': None, 'residential': None, 'farm': None, 'farmyard': None, 'industrial': None, 'commercial': None, 'retail': None, 'road': None, 'house_number': None, 'house_name': None, 'emergency': None, 'historic': None, 'military': None, 'natural': None, 'landuse': None, 'railway': None, 'man_made': None, 'aerialway': None, 'boundary': None, 'amenity': None, 'aeroway': None, 'club': None, 'craft': None, 'leisure': None, 'office': None, 'mountain_pass': None, 'shop': None, 'tourism': None, 'bridge': None, 'tunnel': None, 'waterway': None, 'ISO3166_2': 'US-FL', 'ISO3166_2_lvl2': None, 'ISO3166_2_lvl3': None, 'ISO3166_2_lvl4': 'US-FL', 'ISO3166_2_lvl5': None, 'ISO3166_2_lvl6': None, 'ISO3166_2_lvl7': None, 'ISO3166_2_lvl8': None, 'ISO3166_2_lvl9': None, 'ISO3166_2_lvl10': None, 'ISO3166_2_lvl11': None, 'administrative': None, 'territory': None, 'place': None}}",,3951622059994943138,,"/maps/dir//1-Stop+Home+Watch+Services,+3748+Jungle+Plum+Dr+E,+Naples,+FL+34114,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88dafd04a3d90a07:0x36d6fb53b4988ea2?sa=X&ved=2ahUKEwiLmo3v8PH_AhV1l2oFHfwHC_Q4KBDjwAN6BAgFEAA&hl=en",1-Stop Home Watch Services,+12392277001,us,,Property management company Collier County 34120,,+1 239-227-7001,us-fl,Florida,/,,1-stophomewatch.com,,1-Stop Home Watch Services 3748 Jungle Plum Dr E · +1 239-227-7001 Closed ⋅ Opens 8 am,1688364765000,"https://www.google.com/search?q=Property+management+company+Collier+County+34120&sz=0&tbm=lcl&start=40&hl=en&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4",,1
1-stophomewatch.com,828d9354359a7b378e6404b18b3e6be7,"3748 Jungle Plum Dr E, Naples, FL 34114",Property management company,,Naples,http://www.1-stophomewatch.com/,,United States,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-fl', 'region_name': 'Florida', 'city': 'Naples', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': None, 'postcode': None, 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 6.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': False, 'city_has_first_letter_upper_case': True, 'latitude': 26.142196655273438, 'longitude': -81.79429626464844, 'raw_text': '3748 Jungle Plum Dr E, Naples, FL 34114', 'tokens': None, 'nominatim_address': {'postcode': None, 'continent': None, 'country': 'United States', 'country_code': 'us', 'region': None, 'state': 'Florida', 'state_district': None, 'county': 'Collier County', 'city': None, 'municipality': None, 'town': 'Naples', 'village': None, 'city_district': None, 'district': None, 'borough': None, 'suburb': None, 'subdivision': None, 'hamlet': None, 'croft': None, 'isolated_dwelling': None, 'neighbourhood': None, 'allotments': None, 'quarter': None, 'city_block': None, 'residential': None, 'farm': None, 'farmyard': None, 'industrial': None, 'commercial': None, 'retail': None, 'road': None, 'house_number': None, 'house_name': None, 'emergency': None, 'historic': None, 'military': None, 'natural': None, 'landuse': None, 'railway': None, 'man_made': None, 'aerialway': None, 'boundary': None, 'amenity': None, 'aeroway': None, 'club': None, 'craft': None, 'leisure': None, 'office': None, 'mountain_pass': None, 'shop': None, 'tourism': None, 'bridge': None, 'tunnel': None, 'waterway': None, 'ISO3166_2': 'US-FL', 'ISO3166_2_lvl2': None, 'ISO3166_2_lvl3': None, 'ISO3166_2_lvl4': 'US-FL', 'ISO3166_2_lvl5': None, 'ISO3166_2_lvl6': None, 'ISO3166_2_lvl7': None, 'ISO3166_2_lvl8': None, 'ISO3166_2_lvl9': None, 'ISO3166_2_lvl10': None, 'ISO3166_2_lvl11': None, 'administrative': None, 'territory': None, 'place': None}}",,3951622059994943138,,"/maps/dir//1-Stop+Home+Watch+Services,+3748+Jungle+Plum+Dr+E,+Naples,+FL+34114/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88dafd04a3d90a07:0x36d6fb53b4988ea2?sa=X&ved=2ahUKEwiB1PP17PH_AhWPElkFHbFlCc84PBDjwAN6BAgOEAA&hl=en",1-Stop Home Watch Services,+12392277001,,,Property management company Collier County 34120,,(239) 227-7001,us-fl,Florida,/,,1-stophomewatch.com,,1-Stop Home Watch Services 3748 Jungle Plum Dr E · (239) 227-7001 Closed ⋅ Opens 8 AM,1688363703000,"https://www.google.com/search?q=Property+management+company+Collier+County+34120&sz=0&tbm=lcl&start=60&hl=en&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4",,2
1-stophomewatch.com,9e2eb3de4a761b2bcd0b96f5074f8787,"3748 Jungle Plum Dr E, Naples, FL 34114",,,Naples,http://www.1-stophomewatch.com/,,United States,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-fl', 'region_name': 'Florida', 'city': 'Naples', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': None, 'postcode': None, 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 6.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': False, 'city_has_first_letter_upper_case': True, 'latitude': 26.142196655273438, 'longitude': -81.79429626464844, 'raw_text': '3748 Jungle Plum Dr E, Naples, FL 34114', 'tokens': None, 'nominatim_address': None}",,3951622059994943138,,"/maps/dir//1-Stop+Home+Watch+Services,+3748+Jungle+Plum+Dr+E,+Naples,+FL+34114/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88dafd04a3d90a07:0x36d6fb53b4988ea2?sa=X",1-Stop Home Watch Services,+12392277001,,,Property Preservation Srvcng,"Naples, FL  Country Club  239 227-7001",(239) 227-7001,us-fl,Florida,/,,1-stophomewatch.com,,"1-Stop Home Watch Services Naples, FL · In Forest Glen Golf & Country Club · (239) 227-7001 Closed ⋅ Opens 8 AM Tue",1683590702000,"https://www.google.com/search?q=Property+Preservation+Srvcng&sz=4&tbm=lcl&sclient=gws-wiz-local&fll=-10.774136999815152,-77.70746061840558&fspn=64.31407566696117,110.7421875&fz=4&sll=-10.774136999815152,-77.70746061840558&sspn=64.31407566696117,110.7421875&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4&rlst=f#rlfi=hd:;si:;mv:[[21.38290083366544,-22.33636686840558],[-42.93117483329574,-133.07855436840558],null,[-10.774136999815152,-77.70746061840558],4];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4",,3
100mileclub.com,44a66ce16a6f7f7b396afd401e4c7876,"2191 Fifth St 211, Norco, CA 92860",,,Norco,https://100mileclub.com/,,United States,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-ca', 'region_name': 'California', 'city': 'Norco', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': None, 'postcode': '92860', 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 7.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 33.93233108520508, 'longitude': -117.55088806152344, 'raw_text': '2191 Fifth St 211, Norco, CA 92860', 'tokens': None, 'nominatim_address': {'postcode': '92860', 'continent': None, 'country': 'United States', 'country_code': 'us', 'region': None, 'state': 'California', 'state_district': None, 'county': 'Riverside County', 'city': None, 'municipality': None, 'town': 'Norco', 'village': None, 'city_district': None, 'district': None, 'borough': None, 'suburb': None, 'subdivision': None, 'hamlet': None, 'croft': None, 'isolated_dwelling': None, 'neighbourhood': None, 'allotments': None, 'quarter': None, 'city_block': None, 'residential': None, 'farm': None, 'farmyard': None, 'industrial': None, 'commercial': None, 'retail': None, 'road': None, 'house_number': None, 'house_name': None, 'emergency': None, 'historic': None, 'military': None, 'natural': None, 'landuse': None, 'railway': None, 'man_made': None, 'aerialway': None, 'boundary': None, 'amenity': None, 'aeroway': None, 'club': None, 'craft': None, 'leisure': None, 'office': None, 'mountain_pass': None, 'shop': None, 'tourism': None, 'bridge': None, 'tunnel': None, 'waterway': None, 'ISO3166_2': 'US-CA', 'ISO3166_2_lvl2': None, 'ISO3166_2_lvl3': None, 'ISO3166_2_lvl4': 'US-CA', 'ISO3166_2_lvl5': None, 'ISO3166_2_lvl6': None, 'ISO3166_2_lvl7': None, 'ISO3166_2_lvl8': None, 'ISO3166_2_lvl9': None, 'ISO3166_2_lvl10': None, 'ISO3166_2_lvl11': None, 'administrative': None, 'territory': None, 'place': None}}",,17653448156560406507,,"/maps/dir//100+Mile+Club,+2191+Fifth+St+%23211,+Norco,+CA+92860/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcc86c8bf6f829:0xf4fda591008eb7eb?sa=X&ved=2ahUKEwiBgMbEt-b_AhU2mmoFHSBmCx04UBDjwAN6BAgEEAA&hl=en",100 Mile Club,+19513402290,,,Disco club Yorba Linda 92887,"Norco, CA  951 340-2290",(951) 340-2290,us-ca,California,/,,100mileclub.com,,"100 Mile Club Norco, CA · (951) 340-2290 Open ⋅ Closes 4 PM",1687971416000,"https://www.google.com/search?q=Disco+club+Yorba+Linda+92887&sz=0&tbm=lcl&start=80&hl=en&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4",92860,1
100mileclub.com,0c38067f8e6a828e044bcbcd5f77d8ab,,Non profit organization,,Norco,https://100mileclub.com/,us,United States,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'California', 'city': 'Norco', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': '5th Street', 'postcode': '92860', 'po_box': None, 'house_number': '2191', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 0.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 33.93281555175781, 'longitude': -117.56360626220703, 'raw_text': None, 'tokens': None, 'nominatim_address': None}","{'latitude': 33.932560699999996, 'longitude': -117.5635291}",17653448156560406507,,"/maps/dir//100+Mile+Club,+2191+Fifth+St+%23211,+Norco,+CA+92860/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcc86c8bf6f829:0xf4fda591008eb7eb?sa=X",100 Mile Club,+19513402290,us,,wonderfulgroup.in," Norco, CA ",(951) 340-2290,,California,/,,100mileclub.com,,"4.6 (14) · Non-profit organization 10+ years in business · Norco, CA · In Beacon hill Closed ⋅ Opens 9AM Mon · (951) 340-2290",1633196862000,https://www.google.com/search?q=wonderfulgroup.in&sz=0&tbm=lcl&start=100,92860,2
100mileclub.com,9def71315cbcaa78f4dc3deb9a42c7be,"2191 Fifth St 211, Norco, CA 92860, United States",,,Norco,https://100mileclub.com/,us,United States,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-ca', 'region_name': 'California', 'city': 'Norco', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': None, 'postcode': '92860', 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 9.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 33.93233108520508, 'longitude': -117.55088806152344, 'raw_text': '2191 Fifth St 211, Norco, CA 92860, United States', 'tokens': None, 'nominatim_address': {'postcode': '92860', 'continent': None, 'country': 'United States', 'country_code': 'us', 'region': None, 'state': 'California', 'state_district': None, 'county': 'Riverside County', 'city': None, 'municipality': None, 'town': 'Norco', 'village': None, 'city_district': None, 'district': None, 'borough': None, 'suburb': None, 'subdivision': None, 'hamlet': None, 'croft': None, 'isolated_dwelling': None, 'neighbourhood': None, 'allotments': None, 'quarter': None, 'city_block': None, 'residential': None, 'farm': None, 'farmyard': None, 'industrial': None, 'commercial': None, 'retail': None, 'road': None, 'house_number': None, 'house_name': None, 'emergency': None, 'historic': None, 'military': None, 'natural': None, 'landuse': None, 'railway': None, 'man_made': None, 'aerialway': None, 'boundary': None, 'amenity': None, 'aeroway': None, 'club': None, 'craft': None, 'leisure': None, 'office': None, 'mountain_pass': None, 'shop': None, 'tourism': None, 'bridge': None, 'tunnel': None, 'waterway': None, 'ISO3166_2': 'US-CA', 'ISO3166_2_lvl2': None, 'ISO3166_2_lvl3': None, 'ISO3166_2_lvl4': 'US-CA', 'ISO3166_2_lvl5': None, 'ISO3166_2_lvl6': None, 'ISO3166_2_lvl7': None, 'ISO3166_2_lvl8': None, 'ISO3166_2_lvl9': None, 'ISO3166_2_lvl10': None, 'ISO3166_2_lvl11': None, 'administrative': None, 'territory': None, 'place': None}}",,17653448156560406507,,"/maps/dir//100+Mile+Club,+2191+Fifth+St+%23211,+Norco,+CA+92860,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcc86c8bf6f829:0xf4fda591008eb7eb?sa=X&ved=2ahUKEwjq5rzOh_H_AhVppIsKHbn7Dcg4FBDjwAN6BAgFEAA&hl=en",100 Mile Club,+19513402290,us,,Sports club Eastvale 92880,"Norco, CA, United States  ",+1 951-340-2290,us-ca,California,/,,100mileclub.com,,"100 Mile Club Norco, CA, United States · +1 951-340-2290 Closed ⋅ Opens 9 AM Mon",1688336510000,"https://www.google.com/search?q=Sports+club+Eastvale+92880&sz=0&tbm=lcl&start=20&hl=en&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4",92860,3
100mileclub.com,a3be3ca2675765abad634c4be3e51837,"2191 Fifth St 211, Norco, CA 92860",,,Norco,https://100mileclub.com/,,United States,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-ca', 'region_name': 'California', 'city': 'Norco', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': None, 'postcode': '92860', 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 7.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 33.93233108520508, 'longitude': -117.55088806152344, 'raw_text': '2191 Fifth St 211, Norco, CA 92860', 'tokens': None, 'nominatim_address': {'postcode': '92860', 'continent': None, 'country': 'United States', 'country_code': 'us', 'region': None, 'state': 'California', 'state_district': None, 'county': 'Riverside County', 'city': None, 'municipality': None, 'town': 'Norco', 'village': None, 'city_district': None, 'district': None, 'borough': None, 'suburb': None, 'subdivision': None, 'hamlet': None, 'croft': None, 'isolated_dwelling': None, 'neighbourhood': None, 'allotments': None, 'quarter': None, 'city_block': None, 'residential': None, 'farm': None, 'farmyard': None, 'industrial': None, 'commercial': None, 'retail': None, 'road': None, 'house_number': None, 'house_name': None, 'emergency': None, 'historic': None, 'military': None, 'natural': None, 'landuse': None, 'railway': None, 'man_made': None, 'aerialway': None, 'boundary': None, 'amenity': None, 'aeroway': None, 'club': None, 'craft': None, 'leisure': None, 'office': None, 'mountain_pass': None, 'shop': None, 'tourism': None, 'bridge': None, 'tunnel': None, 'waterway': None, 'ISO3166_2': 'US-CA', 'ISO3166_2_lvl2': None, 'ISO3166_2_lvl3': None, 'ISO3166_2_lvl4': 'US-CA', 'ISO3166_2_lvl5': None, 'ISO3166_2_lvl6': None, 'ISO3166_2_lvl7': None, 'ISO3166_2_lvl8': None, 'ISO3166_2_lvl9': None, 'ISO3166_2_lvl10': None, 'ISO3166_2_lvl11': None, 'administrative': None, 'territory': None, 'place': None}}",,17653448156560406507,,"/maps/dir//100+Mile+Club,+2191+Fifth+St+%23211,+Norco,+CA+92860/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcc86c8bf6f829:0xf4fda591008eb7eb?sa=X&ved=2ahUKEwio1_q5v_H_AhXPM0QIHegZBhc4FBDjwAN6BAgQEAA&hl=en",100 Mile Club,+19513402290,,,Association or organization Norco 92860,,(951) 340-2290,us-ca,California,/,,100mileclub.com,,100 Mile Club 2191 Fifth St #211 · (951) 340-2290 Closed ⋅ Opens 9 AM Mon,1688351498000,"https://www.google.com/search?q=Association+or+organization+Norco+92860&sz=0&tbm=lcl&start=20&hl=en&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4",92860,4
1call.ms,3cf37753a1b95998b6e52013d8e1b1b4,"6371 HWY 98 W, 6371 US-98 Suite 40, Hattiesburg, MS 39402",,,Hattiesburg,https://www.1call.ms/locations/hattiesburg/?utm_source=gmb&utm_medium=organic&utm_campaign=hattiesburg,,United States,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-ms', 'region_name': 'Mississippi', 'city': 'Hattiesburg', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': None, 'postcode': None, 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 6.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': False, 'city_has_first_letter_upper_case': True, 'latitude': 31.3271189, 'longitude': -89.2903392, 'raw_text': '6371 HWY 98 W, 6371 US-98 Suite 40, Hattiesburg, MS 39402', 'tokens': None, 'nominatim_address': {'postcode': None, 'continent': None, 'country': 'United States', 'country_code': 'us', 'region': None, 'state': 'Mississippi', 'state_district': None, 'county': 'Forrest County', 'city': 'Hattiesburg', 'municipality': None, 'town': None, 'village': None, 'city_district': None, 'district': None, 'borough': None, 'suburb': None, 'subdivision': None, 'hamlet': None, 'croft': None, 'isolated_dwelling': None, 'neighbourhood': None, 'allotments': None, 'quarter': None, 'city_block': None, 'residential': None, 'farm': None, 'farmyard': None, 'industrial': None, 'commercial': None, 'retail': None, 'road': None, 'house_number': None, 'house_name': None, 'emergency': None, 'historic': None, 'military': None, 'natural': None, 'landuse': None, 'railway': None, 'man_made': None, 'aerialway': None, 'boundary': None, 'amenity': None, 'aeroway': None, 'club': None, 'craft': None, 'leisure': None, 'office': None, 'mountain_pass': None, 'shop': None, 'tourism': None, 'bridge': None, 'tunnel': None, 'waterway': None, 'ISO3166_2': 'US-MS', 'ISO3166_2_lvl2': None, 'ISO3166_2_lvl3': None, 'ISO3166_2_lvl4': 'US-MS', 'ISO3166_2_lvl5': None, 'ISO3166_2_lvl6': None, 'ISO3166_2_lvl7': None, 'ISO3166_2_lvl8': None, 'ISO3166_2_lvl9': None, 'ISO3166_2_lvl10': None, 'ISO3166_2_lvl11': None, 'administrative': None, 'territory': None, 'place': None}}",,3965985816326536507,,"/maps/dir//Richard+Schwartz+%26+Associates+Injury+Lawyers,+P.A.,+6371+HWY+98+W,+6371+US-98+Suite+40,+Hattiesburg,+MS+39402/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x889cdc5dcf493dff:0x370a031656617d3b?sa=X&ved=2ahUKEwjykM-9-vP_AhWJSzABHZ9FDrIQ48ADegQIDRAA","Richard Schwartz & Associates Injury Lawyers, P.A.",+16012994540,,,Estate planning attorney Hattiesburg 39402,"6371 HWY 98 W, 6371 US-98 Suite 40  601 299-4540",(601) 299-4540,us-ms,Mississippi,/locations/hattiesburg/?utm_source=gmb&utm_medium=organic&utm_campaign=hattiesburg,,1call.ms,,"Richard Schwartz & Associates Injury Lawyers, P.A. 6371 HWY 98 W, 6371 US-98 Suite 40 · (601) 299-4540 Open 24 hours Onsite services·Online appointments",1688436063000,"https://www.google.com/search?q=Estate+planning+attorney+Hattiesburg+39402&sz=0&tbm=lcl&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4&start=",,1
1call.ms,3d678b97f3c9441345985b10a9493fe1,"162 E Amite St, Jackson, MS 39201",,,Jackson,https://www.1call.ms/locations/jackson/?utm_source=gmb&utm_medium=organic&utm_campaign=Jackson,,United States,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-ms', 'region_name': 'Mississippi', 'city': 'Jackson', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'East Amite Street', 'postcode': '39201', 'po_box': None, 'house_number': '162', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': -5.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 32.301542037976645, 'longitude': -90.18672888047966, 'raw_text': '162 E Amite St, Jackson, MS 39201', 'tokens': None, 'nominatim_address': {'postcode': '39201', 'continent': None, 'country': 'United States', 'country_code': 'us', 'region': None, 'state': 'Mississippi', 'state_district': None, 'county': 'Hinds County', 'city': 'Jackson', 'municipality': None, 'town': None, 'village': None, 'city_district': None, 'district': None, 'borough': None, 'suburb': None, 'subdivision': None, 'hamlet': None, 'croft': None, 'isolated_dwelling': None, 'neighbourhood': None, 'allotments': None, 'quarter': None, 'city_block': None, 'residential': None, 'farm': None, 'farmyard': None, 'industrial': None, 'commercial': None, 'retail': None, 'road': 'East Amite Street', 'house_number': '162', 'house_name': None, 'emergency': None, 'historic': None, 'military': None, 'natural': None, 'landuse': None, 'railway': None, 'man_made': None, 'aerialway': None, 'boundary': None, 'amenity': None, 'aeroway': None, 'club': None, 'craft': None, 'leisure': None, 'office': None, 'mountain_pass': None, 'shop': None, 'tourism': None, 'bridge': None, 'tunnel': None, 'waterway': None, 'ISO3166_2': 'US-MS', 'ISO3166_2_lvl2': None, 'ISO3166_2_lvl3': None, 'ISO3166_2_lvl4': 'US-MS', 'ISO3166_2_lvl5': None, 'ISO3166_2_lvl6': None, 'ISO3166_2_lvl7': None, 'ISO3166_2_lvl8': None, 'ISO3166_2_lvl9': None, 'ISO3166_2_lvl10': None, 'ISO3166_2_lvl11': None, 'administrative': None, 'territory': None, 'place': None}}",,18139938733730441629,,"/maps/dir//Richard+Schwartz+%26+Associates+Injury+Lawyers+P.A.,+162+E+Amite+St,+Jackson,+MS+39201/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x862833bec9f14487:0xfbbe022b375a299d?sa=X&ved=2ahUKEwid9Onx-vP_AhXjm4kEHYAsAUMQ48ADegQIDhAA",Richard Schwartz & Associates Injury Lawyers P.A.,+16018005559,,,General practice attorney Jackson 39216,,(601) 800-5559,us-ms,Mississippi,/locations/jackson/?utm_source=gmb&utm_medium=organic&utm_campaign=Jackson,,1call.ms,,Richard Schwartz & Associates Injury Lawyers P.A. 162 E Amite St · (601) 800-5559 Open 24 hours,1688436172000,"https://www.google.com/search?q=General+practice+attorney+Jackson+39216&sz=0&tbm=lcl&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4&start=",39201,2
1call.ms,c230fcb68bc21a19393851ed4e8a32dd,,Attorney,,Greenwood,https://www.1call.ms/greenwood/,,United States,,"{'country_code': 'us', 'country_name': 'United States', 'region_code': None, 'region_name': 'Mississippi', 'city': 'Greenwood', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Walthall Street', 'postcode': '38930', 'po_box': None, 'house_number': '717', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': -11.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 33.515625, 'longitude': -90.17860412597656, 'raw_text': None, 'tokens': None, 'nominatim_address': None}","{'latitude': 33.5156455, 'longitude': -90.1785483}",5345604321129015273,,"/maps/dir//Richard+Schwartz+%26+Associates,+PA,+Greenwood,+MS+38930/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x862a6dcfd11843a3:0x4a2f66ceceb027e9?sa=X&hl=en","Richard Schwartz & Associates, PA",+16624538600,,"/search?sz=0&q=Richard+Schwartz+%26+Associates,+PA+Greenwood,+MS&ludocid=5345604321129015273&gsas=1&lsig=AB86z5VjR6RKITwQcNCVQ9RS7owZ&lqi=ChhtYXJpdGltZSBhY2NpZGVudCBsYXd5ZXJaGiIYbWFyaXRpbWUgYWNjaWRlbnQgbGF3eWVykgEGbGF3eWVyqgEgEAEqHCIYbWFyaXRpbWUgYWNjaWRlbnQgbGF3eWVyKAA",Medical office management consulting services or consultants in Mississippi," Greenwood, MS",(662) 453-8600,,Mississippi,/greenwood/,,1call.ms,,"Richard Schwartz & Associates, PA No reviews · Attorney 10+ years in business · Greenwood, MS (662) 453-8600",1671105270000,https://www.google.com/search?q=Medical+office+management+consulting+services+or+consultants+in+Mississippi&sz=0&tbm=lcl&start=140&hl=en,38930,3
