root_domain,address,angellist_url,blog_url,category,city,country,crunchbase_url,description,employee_count,employees,facebook_url,founded_at,id,instagram_url,is_public,keywords,last_updated,latest_funding_amount,linkedin_url,name,phones,postal_code,profile_url,publicly_traded_exchange,publicly_traded_symbol,retail_location_count,revenue,state,street,time,total_funding_amount,twitter_url,website,youtube_url,row
1800lawguys.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-ma', 'region_name': 'Massachusetts', 'city': 'Boston', 'city_district': 'North End', 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Atlantic Avenue', 'postcode': '02110', 'po_box': None, 'house_number': '83', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 8.0, 'staircase': None, 'suburb': 'North End', 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 42.362457275390625, 'longitude': -71.05117797851562, 'raw_text': '83 Atlantic Ave, Boston, Massachusetts, United States, 02110-3711', 'tokens': {'country': array(['united states'], dtype=object), 'region': array(['massachusetts'], dtype=object), 'city': array(['boston'], dtype=object), 'postcode': array(['02110-3711'], dtype=object), 'road': array(['atlantic ave'], dtype=object), 'number': array(['83'], dtype=object), 'po_box': array([], dtype=object), 'other': array([], dtype=object), 'raw_text': '83 Atlantic Ave, Boston, Massachusetts, United States, 02110-3711'}, 'nominatim_address': None}",,,['law practice'],Boston,United States,,Kelly & Associates Injury Lawyers is made up of attorneys that are experienced in personal injury law and are trained to help you through your particular set of difficult circumstances. We are very often successful in securing high-value settlement and court verdicts and are confident and aggressive in handling each and every personal injury case we retain. It is not hard to imagine how a minor or major injury resulting from another's negligence can turn your life upside down. We know that any personal injury accident can be a lot to handle on your own.An experienced personal injury firm can help you through the process so you don't have to worry about how to file a personal injury claim on your own. Visit our Boston office or give us a call to speak to a Boston personal injury lawyer. Visit our legal services page to see the types of cases we handle.,19,"[{'name': 'Denis Cooper', 'surname': 'Cooper', 'given_name': 'Denis', 'company_names': array(['Kelly & Associates Injury Lawyers'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Paralegal', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}
 {'name': 'Jackie Deferrari', 'surname': 'Deferrari', 'given_name': 'Jackie', 'company_names': array(['Kelly & Associates Injury Lawyers'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Paralegal', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}
 {'name': 'Sydney Bushard', 'surname': 'Bushard', 'given_name': 'Sydney', 'company_names': array(['Kelly & Associates Injury Lawyers'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Marketing Director', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}                                                                                                                                                                                                         ]",https://www.facebook.com/bostonpersonalinjuryattorney,2013,57c4dd72a6da9869fb3f2d82,,False,"['contracts' 'personal injury law' 'criminal defense law' 'law practice'
 'professional services' 'lawyers' 'legal services' 'criminal defense'
 'personal injury' 'estate planning']",2023-01-19 05:47:21.775,,http://www.linkedin.com/company/kelly-and-associates-law,Kelly & Associates Injury Lawyers,['+18574258001'],02110-3711,https://www.apollo.io/companies/Kelly---Associates-Injury-Lawyers/57c4dd72a6da9869fb3f2d82,,,,1.6M,Massachusetts,83 Atlantic Ave,2023-01-20 10:12:14.000,,https://twitter.com/1800lawguys,http://www.1800lawguys.com,,1
25vanzant.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-ct', 'region_name': 'Connecticut', 'city': 'Norwalk', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': None, 'postcode': None, 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 9.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': False, 'city_has_first_letter_upper_case': True, 'latitude': 41.11759567260742, 'longitude': -73.40789794921875, 'raw_text': ', Norwalk, Connecticut, United States', 'tokens': None, 'nominatim_address': None}",,,['real estate'],Norwalk,United States,,,0,[],https://www.facebook.com/tideandtruestudios,,618ae6a8186745000143c9ee,https://www.instagram.com/tideandtruestudios/,False,['real estate'],2023-04-29 04:33:00.057,,http://www.linkedin.com/company/25-van-zant-street,Workforce Training Center,['+12038475722'],,https://www.apollo.io/companies/Workforce-Training-Center/618ae6a8186745000143c9ee,,,,12.9M,Connecticut,,2023-05-03 05:35:48.000,,https://twitter.com/tidetruestudios,http://www.25vanzant.com,,1
2excelgeo.com,,,,['environmental services'],Sywell,United Kingdom,,2Excel Geo provides end-to-end remote sensing solutions from data capture to data delivery and everything in between. Our team of specialists have particular expertise in the acquisition and processing of hyperspectral imagery to support environmental applications.,11,[],,2016,5da4d2b53da7560001d0ed07,,False,"['remote sensing' 'hyperspectral' 'gis' 'data analysis'
 'renewables & environment' 'data processing' 'data analytics'
 'photogrammetry' 'environmental services']",2023-04-27 10:40:53.672,,http://www.linkedin.com/company/2excelgeo,2Excel Geo,[],NN6,https://www.apollo.io/companies/2Excel%20Geo/5da4d2b53da7560001d0ed07,,,,,,,2023-05-04 01:51:39.000,,,http://www.2excelgeo.com,,1
2funshop.com,"{'country_code': 'bd', 'country_name': 'Bangladesh', 'region_code': 'bd-c', 'region_name': 'Dhaka Division', 'city': 'Dhaka', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': 'Dhaka District', 'road': None, 'postcode': None, 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 10.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 23.764402389526367, 'longitude': 90.3890151977539, 'raw_text': 'Dinath Sen Road, Dhaka, Dhaka Division, Bangladesh', 'tokens': {'country': array(['bangladesh'], dtype=object), 'region': array(['dhaka division'], dtype=object), 'city': array(['dhaka'], dtype=object), 'postcode': array([], dtype=object), 'road': array(['dinath sen road'], dtype=object), 'number': array([], dtype=object), 'po_box': array([], dtype=object), 'other': array([], dtype=object), 'raw_text': 'Dinath Sen Road, Dhaka, Dhaka Division, Bangladesh'}, 'nominatim_address': None}",,,['retail'],Dhaka,Bangladesh,,"2Fun Shop is Bangladesh based fastest growing innovative Online Super Shop. Anybody from anywhere in Bangladesh and around the world to purchase different Brand products in 2FunShop. We've created a platform, everyone will find a place for all kinds of brand.",0,[],,2016,5e56327aec234a0001188028,,False,"['online super shop' 'retail office equipment' 'all brands only one place'
 'retail' 'seek find enjoy' '2fun shop what you want']",2023-04-27 10:37:03.155,,http://www.linkedin.com/company/2fun-shop,2FunShop,[],,https://www.apollo.io/companies/2FunShop/5e56327aec234a0001188028,,,,,Dhaka Division,Dinath Sen Road,2023-05-04 00:53:12.000,,,http://www.2funshop.com,,1
2oceans.co.za,"{'country_code': 'za', 'country_name': 'South Africa', 'region_code': 'za-wc', 'region_name': 'Western Cape', 'city': 'Cape Town', 'city_district': 'Paarden Eiland', 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Marine Drive', 'postcode': '7405', 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 9.0, 'staircase': None, 'suburb': 'Paarden Eiland', 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': -33.90865707397461, 'longitude': 18.47260284423828, 'raw_text': 'Marine Dr, Cape Town, Western Cape, South Africa, 7405', 'tokens': {'country': array(['south africa'], dtype=object), 'region': array(['western cape'], dtype=object), 'city': array(['cape town'], dtype=object), 'postcode': array(['7405'], dtype=object), 'road': array(['marine dr'], dtype=object), 'number': array([], dtype=object), 'po_box': array([], dtype=object), 'other': array([], dtype=object), 'raw_text': 'Marine Dr, Cape Town, Western Cape, South Africa, 7405'}, 'nominatim_address': None}",,,['maritime'],Cape Town,South Africa,,"Two Oceans Marine Manufacturing is a world-class marine manufacturer based in Cape Town, South Africa.Founded in 1989, Two Oceans Marine is a leading global custom catamaran manufacturer. The company specialises in custom power and sailing catamarans from 23 to 110 foot and bigger and has 9 500 square meters of covered factory floor space at the Cape Town harbour.Two Oceans Marine manufactures custom cruising, performance sailing, day charter, sport fishing and commercial catamarans. With over 30 years' experience in quality boat building, the staff at Two Oceans Marine are highly skilled. They are actively involved in all sailing and boating activities and have a wealth of knowledge and experience. Extensive testing is performed on all new production boats. Completed vessels are launched and sea trialed within a short distance of the factory, saving time and expense.Two Oceans Marine's vessels are designed by world-class naval architects to be comfortable and ergonomically friendly in every way. Boat layout and interior design is customised to the customers' needs",49,"[{'name': 'Kamil Daniels', 'surname': 'Daniels', 'given_name': 'Kamil', 'company_names': array(['Two Oceans Marine Manufacturing'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Carpenter/boat builder /mould maker', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}
 {'name': 'Nilton January', 'surname': 'January', 'given_name': 'Nilton', 'company_names': array(['Two Oceans Marine Manufacturing'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Boat builder', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}
 {'name': 'James Cooks', 'surname': 'Cooks', 'given_name': 'James', 'company_names': array(['Two Oceans Marine Manufacturing'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Marine Electrical Technician', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}
 {'name': 'Rida Abrahams', 'surname': 'Abrahams', 'given_name': 'Rida', 'company_names': array(['Two Oceans Marine Manufacturing'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Boutbuilder', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}
 {'name': 'Christopher Sithole', 'surname': 'Sithole', 'given_name': 'Christopher', 'company_names': array(['Two Oceans Marine Manufacturing'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Project Manager', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}
 {'name': 'Ashley Jehoma', 'surname': 'Jehoma', 'given_name': 'Ashley', 'company_names': array(['Two Oceans Marine Manufacturing'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Boatbuilder', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}
 {'name': 'Myck Jubber', 'surname': 'Jubber', 'given_name': 'Myck', 'company_names': array(['Two Oceans Marine Manufacturing'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Special Projects Manager, Warranty and Service Manager', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}
 {'name': 'Thabit Jassiem', 'surname': 'Jassiem', 'given_name': 'Thabit', 'company_names': array(['Two Oceans Marine Manufacturing'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Head of Carpentry', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}                                                                                                                                                                                                      ]",,1989,60b3487f434e4500017f6ea2,,False,"['leisure catamaran manufacture' 'charter catamaran manufacture'
 'naval archirecture' 'composite vessel manufacture'
 'carbon vessel manufacture' 'power catamaran manufacture'
 'custom catamaran manufacture' 'yacht design'
 'carbon catamaran manufacture' 'large custom catamaran manufacture'
 'maritime' 'marine manufacturing' 'composite catamaran manufacture'
 'catamaran manufacture' 'power boat manufacturer' 'boat building'
 'vessel manufacture' 'maritime transportation'
 'sailing catamaran manufacture']",2023-01-19 09:23:38.055,,http://www.linkedin.com/company/two-oceans-marine-manufacturing,Two Oceans Marine Manufacturing,[],,https://www.apollo.io/companies/Two-Oceans-Marine-Manufacturing/60b3487f434e4500017f6ea2,,,,,Western Cape,Marine Dr,2023-01-20 19:28:03.000,,,http://www.2oceans.co.za,,1
411locate.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-mo', 'region_name': 'Missouri', 'city': 'Columbia', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Honeysuckle Drive', 'postcode': '65203', 'po_box': None, 'house_number': '3207', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': -3.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 38.91775131225586, 'longitude': -92.36186981201172, 'raw_text': '3207 Honeysuckle Dr, Columbia, Missouri, United States, 65203', 'tokens': {'country': array(['united states'], dtype=object), 'region': array(['missouri'], dtype=object), 'city': array(['columbia'], dtype=object), 'postcode': array(['65203'], dtype=object), 'road': array(['honeysuckle dr'], dtype=object), 'number': array(['3207'], dtype=object), 'po_box': array([], dtype=object), 'other': array([], dtype=object), 'raw_text': '3207 Honeysuckle Dr, Columbia, Missouri, United States, 65203'}, 'nominatim_address': None}",,,[],Columbia,United States,,,0,[],https://facebook.com/pages/411Locate/211511948948392,1994,640597473dce7000016d5049,,False,[],2023-04-24 07:54:19.267,,http://www.linkedin.com/company/schauwecker-mary-kathleen,"SCHAUWECKER, MARY KATHLEEN",['+12143433311'],65203,https://www.apollo.io/companies/SCHAUWECKER--MARY-KATHLEEN/640597473dce7000016d5049,,,,2.3M,Missouri,3207 Honeysuckle Dr,2023-05-03 14:10:43.000,,https://twitter.com/411locate,http://www.411locate.com,,1
4starmusicacademy.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-oh', 'region_name': 'Ohio', 'city': 'Ashtabula', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': None, 'postcode': '44004', 'po_box': None, 'house_number': None, 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 9.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 41.865055084228516, 'longitude': -80.78981018066406, 'raw_text': ', Ashtabula, Ohio, 44004, United States', 'tokens': None, 'nominatim_address': None}",,,['automotive'],Ashtabula,United States,,,1,[],https://www.facebook.com/4starmusic,,55ee1694f3e5bb1673000bc7,https://www.instagram.com/4starmusic,False,"['automotive' 'motor vehicle manufacturing'
 'musical instruments & teachers' 'shopping']",2023-04-24 04:49:46.480,,http://www.linkedin.com/company/four-star-music,Four Star Music,['+15869916948'],44004,https://www.apollo.io/companies/Four-Star-Music/55ee1694f3e5bb1673000bc7,,,,,Ohio,,2023-04-28 18:46:42.000,,,http://www.4starmusicacademy.com,https://www.youtube.com/user/4StarMusicAcademy,1
993thevine.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-ca', 'region_name': 'California', 'city': 'Napa', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Gasser Lane', 'postcode': '94559', 'po_box': None, 'house_number': '135', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 5.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 38.28599548339844, 'longitude': -122.27764129638672, 'raw_text': '135 Gasser Dr, Napa, California, United States, 94559-4044', 'tokens': {'country': array(['united states'], dtype=object), 'region': array(['california'], dtype=object), 'city': array(['napa'], dtype=object), 'postcode': array(['94559-4044'], dtype=object), 'road': array(['gasser dr'], dtype=object), 'number': array(['135'], dtype=object), 'po_box': array([], dtype=object), 'other': array([], dtype=object), 'raw_text': '135 Gasser Dr, Napa, California, United States, 94559-4044'}, 'nominatim_address': None}",,,['media production'],Napa,United States,,"Wine Down Media is a multimedia company based in Napa, CA providing the soundtrack to the Napa Valley's brand and lifestyle across our media platforms with information and entertainment. Super-serving the world famous Napa Valley community and worldwide visitors.",2,[],https://www.facebook.com/pages/993-The-Vine/125649557481674,2017,614f03c0a7b71a00013a0be2,https://www.instagram.com/993thevine/,False,['broadcast media production & distribution' 'media production'],2023-04-29 05:33:55.251,,http://www.linkedin.com/company/winedownmedia,Wine Down Media (KVON-AM/FM & KVYN-FM),['+17072521440'],94559-4044,https://www.apollo.io/companies/Wine-Down-Media/614f03c0a7b71a00013a0be2,,,,2.8M,California,135 Gasser Dr,2023-05-04 09:18:50.000,,https://twitter.com/993thevine,http://www.993thevine.com,,1
a-elitemarketing.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-ma', 'region_name': 'Massachusetts', 'city': 'Salem', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Margin Street', 'postcode': '01970', 'po_box': None, 'house_number': '2;4', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 8.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 42.51960754394531, 'longitude': -70.89659118652344, 'raw_text': '2 Margin St, Salem, Massachusetts, United States, 01970', 'tokens': {'country': array(['united states'], dtype=object), 'region': array(['massachusetts'], dtype=object), 'city': array(['salem'], dtype=object), 'postcode': array(['01970'], dtype=object), 'road': array(['margin st'], dtype=object), 'number': array(['2'], dtype=object), 'po_box': array([], dtype=object), 'other': array([], dtype=object), 'raw_text': '2 Margin St, Salem, Massachusetts, United States, 01970'}, 'nominatim_address': None}",,,['marketing & advertising'],Salem,United States,,A-Elite Marketing is a preeminent Boston based promotional marketing & staffing company founded in 2010. We bolster the success of each brand we represent by creating brand awareness & passion. A-Elite Marketing is comprised of an exceptional staff who create a high level of consumer interactivity to educate and excite consumers and sales persons about the brands we represent.,22,"[{'name': 'Danielle Heckbert', 'surname': 'Heckbert', 'given_name': 'Danielle', 'company_names': array(['A-Elite Marketing'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Promotional Model', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}
 {'name': 'Stephanie Pimenta', 'surname': 'Pimenta', 'given_name': 'Stephanie', 'company_names': array(['CNBC'], dtype=object), 'company_id': None, 'domain': None, 'title': array([{'title': 'Project Manager, SEO', 'department_id': None, 'department': None, 'job_level_id': None, 'job_level': None, 'notes': None, 'metas_json': None}],
       dtype=object), 'links': [], 'emails': array([], dtype=object), 'phones': array([], dtype=object), 'notes': None, 'metas_json': None, 'score': None}                                                                                                                                                                                    ]",https://www.facebook.com/A-Elite-Marketing-120999364644539/,2010,54a11dc569702d8ed44b2701,https://www.instagram.com/aelitemarketing/,False,"['consumer education' 'event planning' 'marketing & advertising'
 'events services' 'marketing' 'sales' 'tastings' 'trade shows']",2023-04-23 07:54:04.296,,http://www.linkedin.com/company/a-elite-marketing,A-Elite Marketing,['+19785000826'],01970,https://www.apollo.io/companies/A-Elite-Marketing/54a11dc569702d8ed44b2701,,,,2.4M,Massachusetts,2 Margin St,2023-05-03 15:02:29.000,,,http://www.a-elitemarketing.com,,1
a-i-r-usa.com,"{'country_code': 'us', 'country_name': 'United States', 'region_code': 'us-co', 'region_name': 'Colorado', 'city': 'Golden', 'city_district': None, 'continent_code': None, 'continent_name': None, 'state_district': None, 'road': 'Johnson Road', 'postcode': '80401', 'po_box': None, 'house_number': '1100', 'entrance': None, 'is_json_ld_address': False, 'l_rank': None, 'level': None, 'main_location': None, 'occurrences': 1.0, 'only_location': None, 'score': 7.0, 'staircase': None, 'suburb': None, 'timezone': None, 'unit': None, 'valid_zip_code': True, 'city_has_first_letter_upper_case': True, 'latitude': 39.73526382446289, 'longitude': -105.19976043701172, 'raw_text': '1100 Johnson Rd, Golden, Colorado, United States, 80401-6021', 'tokens': {'country': array(['united states'], dtype=object), 'region': array(['colorado'], dtype=object), 'city': array(['golden'], dtype=object), 'postcode': array(['80401-6021'], dtype=object), 'road': array(['johnson rd'], dtype=object), 'number': array(['1100'], dtype=object), 'po_box': array([], dtype=object), 'other': array([], dtype=object), 'raw_text': '1100 Johnson Rd, Golden, Colorado, United States, 80401-6021'}, 'nominatim_address': None}",,,[],Golden,United States,,,0,[],https://www.facebook.com/AIRUSALTD,,6391ac6dc78d230001228e54,http://instagram.com/flyairusa/,False,[],2023-04-23 11:34:30.743,,,A-I-R USA,['+14242021692'],80401-6021,https://www.apollo.io/companies/A-I-R-USA/6391ac6dc78d230001228e54,,,,,Colorado,1100 Johnson Rd,2023-05-01 10:05:47.000,,https://twitter.com/FlyAirUSA,http://www.a-i-r-usa.com,,1
